                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.40053,                0.25342,                0.80031,                0.99771,                0.99792,                0.99444,                0.96991,                  0.271,                0.19568,                0.76812,             0.00054478,             0.00054478,             0.00054478
                     36,                0.39701,                0.25305,                0.79899,                0.99805,                0.99851,                0.99451,                0.96983,                0.26414,                0.19552,                0.76667,             0.00051177,             0.00051177,             0.00051177
                     37,                0.39598,                0.25108,                0.80009,                0.99826,                0.99842,                0.99449,                0.97143,                0.26133,                 0.1855,                0.76645,             0.00047876,             0.00047876,             0.00047876
                     38,                0.38646,                 0.2477,                0.79851,                0.99811,                0.99851,                0.99447,                0.97224,                0.26083,                0.18774,                0.76614,             0.00044576,             0.00044576,             0.00044576
                     39,                0.38327,                0.24572,                 0.7977,                 0.9982,                0.99839,                0.99449,                 0.9728,                0.25589,                0.18305,                0.76578,             0.00041275,             0.00041275,             0.00041275
                     40,                0.33483,                0.21881,                0.78624,                0.99828,                0.99843,                 0.9945,                0.97464,                0.25821,                0.18308,                0.76655,             0.00037974,             0.00037974,             0.00037974
                     41,                0.32314,                0.21189,                0.78438,                0.99826,                0.99841,                0.99451,                0.97618,                0.25143,                0.17954,                0.76535,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.3181,                0.20817,                 0.7837,                0.99823,                0.99831,                0.99451,                0.97595,                0.24819,                0.17746,                0.76468,             0.00031373,             0.00031373,             0.00031373
                     43,                0.30824,                 0.2035,                0.78205,                0.99816,                0.99845,                0.99449,                0.97744,                0.24433,                0.17571,                0.76433,             0.00028072,             0.00028072,             0.00028072
                     44,                0.30112,                0.20056,                0.78083,                0.99834,                0.99833,                0.99451,                0.97887,                0.23848,                0.17406,                0.76329,             0.00024772,             0.00024772,             0.00024772
                     45,                0.29543,                0.19795,                0.78036,                0.99828,                0.99848,                0.99453,                0.97912,                0.23727,                0.17234,                0.76326,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.2923,                0.19641,                0.77985,                0.99826,                0.99829,                0.99449,                0.97947,                0.23295,                0.17129,                0.76254,              0.0001817,              0.0001817,              0.0001817
                     47,                0.28778,                0.19398,                0.77893,                0.99838,                0.99833,                0.99454,                0.98023,                0.23102,                0.16995,                0.76257,              0.0001487,              0.0001487,              0.0001487
                     48,                0.28086,                0.19077,                 0.7784,                0.99833,                0.99844,                0.99454,                0.98062,                0.23033,                0.16911,                0.76251,             0.00011569,             0.00011569,             0.00011569
                     49,                0.27738,                0.18853,                0.77775,                0.99833,                0.99836,                0.99453,                0.98092,                0.22795,                0.16816,                0.76204,             8.2683e-05,             8.2683e-05,             8.2683e-05
